year,month,carrier,carrier_name,airport,airport_name,arr_flights,arr_del15,carrier_ct,weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted,arr_delay,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay
2010,7,FL,AirTran Airways Corporation,MLI,"Moline, IL: Quad City International",105,15,1.91,0.0,5.25,0.0,7.85,1,1,770,93,0,213,0,464
2016,10,OO,SkyWest Airlines Inc.,AVL,"Asheville, NC: Asheville Regional",107,15,4.21,0.41,2.79,0.0,7.58,0,0,997,392,16,115,0,474
2015,7,OO,SkyWest Airlines Inc.,DSM,"Des Moines, IA: Des Moines International",146,36,16.21,2.29,8.98,0.0,8.52,0,2,2166,1241,126,336,0,463
2011,6,YV,Mesa Airlines Inc.,ORF,"Norfolk, VA: Norfolk International",99,15,10.07,0.0,1.98,0.0,2.95,5,0,1212,883,0,44,0,285
2023,11,YX,Republic Airline,JFK,"New York, NY: John F. Kennedy International",1154,77,19.88,0.0,40.27,0.18,16.68,0,0,3576,943,0,1301,8,1324
2018,1,UA,United Air Lines Network,TUS,"Tucson, AZ: Tucson International",37,4,1.23,0.0,1.24,0.0,1.53,0,0,128,39,0,47,0,42
2021,4,DL,Delta Air Lines Network,ABQ,"Albuquerque, NM: Albuquerque International Sunport",30,4,1.58,0.0,1.42,0.0,1.0,1,0,120,59,0,40,0,21
2010,6,OO,SkyWest Airlines Inc.,HOU,"Houston, TX: William P Hobby",1,1,0.04,0.0,0.0,0.0,0.96,0,0,102,4,0,0,0,98
2004,7,OH,Comair Inc.,BTV,"Burlington, VT: Burlington International",181,39,19.97,12.93,5.09,0.0,1.0,2,0,2207,1153,615,330,0,109
2020,8,AS,Alaska Airlines Network,PSG,"Petersburg, AK: Petersburg James A Johnson",62,12,2.67,0.0,6.21,0.0,3.12,0,1,301,84,0,137,0,80
2007,7,OO,SkyWest Airlines Inc.,IPL,"El Centro, CA: Imperial County",104,13,8.0,0.0,0.0,0.0,5.0,1,0,534,294,0,0,0,240
2006,1,MQ,American Eagle Airlines Inc.,ORF,"Norfolk, VA: Norfolk International",115,32,18.76,0.91,7.0,0.0,5.34,0,0,2014,1205,56,363,0,390
2018,7,DL,Delta Air Lines Network,IAH,"Houston, TX: George Bush Intercontinental/Houston",303,60,19.84,6.69,15.2,0.0,18.26,1,1,4175,814,962,680,0,1719
2021,2,PT,Piedmont Airlines,CHA,"Chattanooga, TN: Lovell Field",89,9,2.57,0.0,3.04,0.0,3.39,0,0,705,238,0,97,0,370
2023,10,WN,Southwest Airlines,PNS,"Pensacola, FL: Pensacola International",160,30,11.96,0.0,4.19,0.0,13.85,0,1,1255,539,0,130,0,586
2021,9,DL,Delta Air Lines Network,PDX,"Portland, OR: Portland International",434,47,27.73,0.0,13.28,0.0,5.99,1,0,2856,1201,0,1310,0,345
2003,9,UA,United Air Lines Inc.,SAN,"San Diego, CA: San Diego International",622,43,16.16,0.91,9.94,0.0,16.0,4,0,1828,828,60,319,0,621
2023,9,HA,Hawaiian Airlines Network,SEA,"Seattle, WA: Seattle/Tacoma International",60,14,8.08,0.0,0.0,1.0,4.92,1,1,534,219,0,0,25,290
2009,9,YV,Mesa Airlines Inc.,MDT,"Harrisburg, PA: Harrisburg International",89,10,10.0,0.0,0.0,0.0,0.0,0,0,566,566,0,0,0,0
2009,1,US,US Airways Inc.,ALB,"Albany, NY: Albany International",107,14,3.17,0.0,3.57,0.0,7.25,1,1,703,179,0,150,0,374
2008,10,9E,Pinnacle Airlines Inc.,AUS,"Austin, TX: Austin - Bergstrom International",111,12,4.0,1.68,1.43,0.0,4.89,1,0,750,260,225,49,0,216
2005,12,AA,American Airlines Inc.,EGE,"Eagle, CO: Eagle County Regional",105,38,19.09,2.3,12.93,0.0,3.68,1,1,2089,1171,113,589,0,216
2003,11,OO,SkyWest Airlines Inc.,ONT,"Ontario, CA: Ontario International",250,11,7.0,2.0,0.0,0.0,2.0,6,0,330,167,91,0,0,72
2013,7,9E,Pinnacle Airlines Inc.,XNA,"Fayetteville, AR: Northwest Arkansas Regional",87,21,11.0,0.56,3.75,0.0,5.7,6,0,1240,636,25,169,0,410
2013,11,OO,SkyWest Airlines Inc.,HIB,"Hibbing, MN: Range Regional",53,6,1.75,0.0,3.25,0.0,1.0,0,0,262,138,0,81,0,43
2021,2,AS,Alaska Airlines Network,BOS,"Boston, MA: Logan International",56,6,2.14,1.0,0.23,0.0,2.63,5,1,410,100,109,15,0,186
2024,8,G4,Allegiant Air,GRR,"Grand Rapids, MI: Gerald R. Ford International",147,36,8.19,2.3,8.41,0.06,17.03,0,0,1815,400,133,255,1,1026
2011,6,WN,Southwest Airlines Co.,CRP,"Corpus Christi, TX: Corpus Christi International",138,34,13.06,0.27,1.31,0.0,19.36,1,0,1352,466,13,39,0,834
2021,4,MQ,Envoy Air,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",3,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
2022,11,OH,PSA Airlines Inc.,PNS,"Pensacola, FL: Pensacola International",147,44,12.08,1.73,17.04,0.0,13.14,1,2,2054,594,102,556,0,802
2013,4,MQ,American Eagle Airlines Inc.,RST,"Rochester, MN: Rochester International",59,8,1.93,1.19,0.27,0.0,4.61,9,0,289,37,40,9,0,203
2019,5,OH,PSA Airlines Inc.,AGS,"Augusta, GA: Augusta Regional at Bush Field",128,22,11.71,2.76,1.71,0.0,5.81,7,0,1386,822,255,49,0,260
2009,1,US,US Airways Inc.,TPA,"Tampa, FL: Tampa International",591,143,42.26,0.51,60.48,0.0,39.75,6,1,6689,2067,73,2138,0,2411
2019,8,ZW,Air Wisconsin Airlines Corp,SGF,"Springfield, MO: Springfield-Branson National",61,5,0.18,0.21,1.14,0.0,3.48,1,0,290,9,13,34,0,234
2024,11,AA,American Airlines Network,MEM,"Memphis, TN: Memphis International",360,79,30.06,1.95,15.47,1.53,29.99,2,0,5265,1820,650,542,65,2188
2005,7,CO,Continental Air Lines Inc.,DCA,"Washington, DC: Ronald Reagan Washington National",384,117,20.44,6.23,64.94,0.76,24.62,10,0,7128,1102,717,3621,13,1675
2018,3,DL,Delta Air Lines Network,JAC,"Jackson, WY: Jackson Hole",143,16,7.55,1.06,2.96,0.0,4.42,0,0,792,492,26,69,0,205
